dataset_id,dataset_name,model,defect_pair,process,severity,domain_interaction,candidate_key
1475,first-order-theorem-proving,extra_trees,missing+label_flip,independent,0.10+0.10,0.012279598330582639,extra_trees | missing+label_flip | independent | 0.10+0.10
1475,first-order-theorem-proving,extra_trees,missing+label_flip,independent,0.30+0.30,0.011517329775166082,extra_trees | missing+label_flip | independent | 0.30+0.30
1475,first-order-theorem-proving,extra_trees,missing+label_flip,shared_latent,0.10+0.10,0.0013844221843074545,extra_trees | missing+label_flip | shared_latent | 0.10+0.10
1475,first-order-theorem-proving,extra_trees,missing+label_flip,shared_latent,0.30+0.30,0.018620331161755804,extra_trees | missing+label_flip | shared_latent | 0.30+0.30
1475,first-order-theorem-proving,extra_trees,numeric_outlier+label_flip,independent,0.10+0.10,0.015606124890568562,extra_trees | numeric_outlier+label_flip | independent | 0.10+0.10
1475,first-order-theorem-proving,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,0.003437266380067139,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30
1475,first-order-theorem-proving,extra_trees,numeric_outlier+label_flip,shared_latent,0.10+0.10,0.00017826176002129954,extra_trees | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1475,first-order-theorem-proving,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,0.008057010042118692,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1475,first-order-theorem-proving,hist_gradient_boosting,missing+label_flip,independent,0.10+0.10,0.007605027482703326,hist_gradient_boosting | missing+label_flip | independent | 0.10+0.10
1475,first-order-theorem-proving,hist_gradient_boosting,missing+label_flip,independent,0.30+0.30,-0.001139486542589015,hist_gradient_boosting | missing+label_flip | independent | 0.30+0.30
1475,first-order-theorem-proving,hist_gradient_boosting,missing+label_flip,shared_latent,0.10+0.10,0.006783945234015228,hist_gradient_boosting | missing+label_flip | shared_latent | 0.10+0.10
1475,first-order-theorem-proving,hist_gradient_boosting,missing+label_flip,shared_latent,0.30+0.30,-0.010183244448806231,hist_gradient_boosting | missing+label_flip | shared_latent | 0.30+0.30
1475,first-order-theorem-proving,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.10+0.10,-0.00196433485317186,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.10+0.10
1475,first-order-theorem-proving,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.30+0.30,-0.01026375573151154,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.30+0.30
1475,first-order-theorem-proving,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.10+0.10,-0.005062996979984209,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1475,first-order-theorem-proving,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,-0.003847516538879233,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1475,first-order-theorem-proving,regularized_logistic,missing+label_flip,independent,0.10+0.10,-0.002835131747354539,regularized_logistic | missing+label_flip | independent | 0.10+0.10
1475,first-order-theorem-proving,regularized_logistic,missing+label_flip,independent,0.30+0.30,0.00989605349233911,regularized_logistic | missing+label_flip | independent | 0.30+0.30
1475,first-order-theorem-proving,regularized_logistic,missing+label_flip,shared_latent,0.10+0.10,-0.0013681503491805487,regularized_logistic | missing+label_flip | shared_latent | 0.10+0.10
1475,first-order-theorem-proving,regularized_logistic,missing+label_flip,shared_latent,0.30+0.30,-0.010006650509110518,regularized_logistic | missing+label_flip | shared_latent | 0.30+0.30
1475,first-order-theorem-proving,regularized_logistic,numeric_outlier+label_flip,independent,0.10+0.10,-0.006502231830083953,regularized_logistic | numeric_outlier+label_flip | independent | 0.10+0.10
1475,first-order-theorem-proving,regularized_logistic,numeric_outlier+label_flip,independent,0.30+0.30,-0.011971605921600384,regularized_logistic | numeric_outlier+label_flip | independent | 0.30+0.30
1475,first-order-theorem-proving,regularized_logistic,numeric_outlier+label_flip,shared_latent,0.10+0.10,-0.006004768386505747,regularized_logistic | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1475,first-order-theorem-proving,regularized_logistic,numeric_outlier+label_flip,shared_latent,0.30+0.30,-0.008647237556878554,regularized_logistic | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1485,madelon,extra_trees,missing+label_flip,independent,0.10+0.10,0.0012820512820513514,extra_trees | missing+label_flip | independent | 0.10+0.10
1485,madelon,extra_trees,missing+label_flip,independent,0.30+0.30,-0.015384615384615366,extra_trees | missing+label_flip | independent | 0.30+0.30
1485,madelon,extra_trees,missing+label_flip,shared_latent,0.10+0.10,-0.002564102564102481,extra_trees | missing+label_flip | shared_latent | 0.10+0.10
1485,madelon,extra_trees,missing+label_flip,shared_latent,0.30+0.30,-0.024358974358974345,extra_trees | missing+label_flip | shared_latent | 0.30+0.30
1485,madelon,extra_trees,numeric_outlier+label_flip,independent,0.10+0.10,-0.035897435897435846,extra_trees | numeric_outlier+label_flip | independent | 0.10+0.10
1485,madelon,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,0.05897435897435902,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30
1485,madelon,extra_trees,numeric_outlier+label_flip,shared_latent,0.10+0.10,0.017948717948717996,extra_trees | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1485,madelon,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,-0.0038461538461538694,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1485,madelon,hist_gradient_boosting,missing+label_flip,independent,0.10+0.10,0.010256410256410295,hist_gradient_boosting | missing+label_flip | independent | 0.10+0.10
1485,madelon,hist_gradient_boosting,missing+label_flip,independent,0.30+0.30,0.0,hist_gradient_boosting | missing+label_flip | independent | 0.30+0.30
1485,madelon,hist_gradient_boosting,missing+label_flip,shared_latent,0.10+0.10,0.0,hist_gradient_boosting | missing+label_flip | shared_latent | 0.10+0.10
1485,madelon,hist_gradient_boosting,missing+label_flip,shared_latent,0.30+0.30,0.0038461538461539066,hist_gradient_boosting | missing+label_flip | shared_latent | 0.30+0.30
1485,madelon,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.10+0.10,3.700743415417188e-17,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.10+0.10
1485,madelon,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.30+0.30,0.006410256410256425,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.30+0.30
1485,madelon,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.10+0.10,-0.012820512820512775,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1485,madelon,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,-0.002564102564102592,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1485,madelon,regularized_logistic,missing+label_flip,independent,0.10+0.10,0.01282051282051285,regularized_logistic | missing+label_flip | independent | 0.10+0.10
1485,madelon,regularized_logistic,missing+label_flip,independent,0.30+0.30,0.02692307692307694,regularized_logistic | missing+label_flip | independent | 0.30+0.30
1485,madelon,regularized_logistic,missing+label_flip,shared_latent,0.10+0.10,0.012820512820512922,regularized_logistic | missing+label_flip | shared_latent | 0.10+0.10
1485,madelon,regularized_logistic,missing+label_flip,shared_latent,0.30+0.30,-0.01538461538461533,regularized_logistic | missing+label_flip | shared_latent | 0.30+0.30
1485,madelon,regularized_logistic,numeric_outlier+label_flip,independent,0.10+0.10,0.0012820512820513885,regularized_logistic | numeric_outlier+label_flip | independent | 0.10+0.10
1485,madelon,regularized_logistic,numeric_outlier+label_flip,independent,0.30+0.30,-0.008974358974358942,regularized_logistic | numeric_outlier+label_flip | independent | 0.30+0.30
1485,madelon,regularized_logistic,numeric_outlier+label_flip,shared_latent,0.10+0.10,-0.0038461538461537583,regularized_logistic | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1485,madelon,regularized_logistic,numeric_outlier+label_flip,shared_latent,0.30+0.30,0.006410256410256461,regularized_logistic | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1494,qsar-biodeg,extra_trees,missing+label_flip,independent,0.10+0.10,0.00701058201058206,extra_trees | missing+label_flip | independent | 0.10+0.10
1494,qsar-biodeg,extra_trees,missing+label_flip,independent,0.30+0.30,0.01931216931216928,extra_trees | missing+label_flip | independent | 0.30+0.30
1494,qsar-biodeg,extra_trees,missing+label_flip,shared_latent,0.10+0.10,0.018650793650793696,extra_trees | missing+label_flip | shared_latent | 0.10+0.10
1494,qsar-biodeg,extra_trees,missing+label_flip,shared_latent,0.30+0.30,0.01388888888888895,extra_trees | missing+label_flip | shared_latent | 0.30+0.30
1494,qsar-biodeg,extra_trees,numeric_outlier+label_flip,independent,0.10+0.10,0.0071428571428571175,extra_trees | numeric_outlier+label_flip | independent | 0.10+0.10
1494,qsar-biodeg,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,0.02129629629629633,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30
