analysis,fold_id,holdout_domain_count,evaluable_domain_count,model,defect_pair,process,severity,candidate_key,training_n,training_mean,training_sd,training_se,selection_score,direction
lodo,lodo_1475,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016660477260538105,0.020277234515769578,0.004651916637300762,3.581422144788307,1
lodo,lodo_1485,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.013737472387154325,0.017674598598187305,0.004054831008270743,3.387927230292372,1
lodo,lodo_1494,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.015720528317578673,0.020463474540019365,0.004694643029140098,3.348609941160563,1
lodo,lodo_1557,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.015554313648718916,0.020401324053018907,0.004680384729554476,3.323298093530769,1
lodo,lodo_1590,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016567122110450895,0.020336871040304582,0.00466559819434245,3.550910605748337,1
lodo,lodo_24,1,0,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,20,0.015999316716514556,0.019956667469960804,0.0044624465067191095,3.5853240352403937,1
lodo,lodo_29,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016031669418193457,0.020502987869859615,0.004703708008703069,3.4083045521811193,1
lodo,lodo_333,1,0,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,20,0.015999316716514556,0.019956667469960804,0.0044624465067191095,3.5853240352403937,1
lodo,lodo_37,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.013040216426740473,0.015347309996195192,0.0035209143857161283,3.703644848520845,1
lodo,lodo_40975,1,0,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,20,0.015999316716514556,0.019956667469960804,0.0044624465067191095,3.5853240352403937,1
lodo,lodo_40994,1,1,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,19,0.010323380196511443,0.013542960693713572,0.0031069682663284713,3.322653890092885,1
lodo,lodo_42178,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016821849425346858,0.020152212632760177,0.004623234650260281,3.638545455269032,1
lodo,lodo_43980,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.015470771982296025,0.020359199845003992,0.004670720773459018,3.3122879171470494,1
lodo,lodo_46173,1,0,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,20,0.015999316716514556,0.019956667469960804,0.0044624465067191095,3.5853240352403937,1
lodo,lodo_46584,1,0,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,20,0.015999316716514556,0.019956667469960804,0.0044624465067191095,3.5853240352403937,1
lodo,lodo_46720,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016768529457379083,0.0201966188343991,0.004633422131597679,3.619037717937654,1
lodo,lodo_46827,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016841386017383744,0.02013517139069516,0.00461932512120587,3.64585422664238,1
lodo,lodo_46919,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.0162910786730182,0.020459656017942245,0.0046937670000954754,3.470789809695885,1
lodo,lodo_46922,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01685125356239176,0.02012640654252134,0.0046173143271298085,3.6495790341539847,1
lodo,lodo_46930,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01666594742089252,0.02027345320190619,0.004651049144405798,3.583266248850119,1
lodo,lodo_46941,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01672160126137608,0.020233167033091744,0.004641806863422399,3.602390567591876,1
lodo,lodo_46947,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016040834628592522,0.02050263930646272,0.00470362804277557,3.410311037079149,1
lodo,lodo_46960,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01648572584289632,0.02038136035027376,0.004675804742038424,3.525751555594116,1
lodo,lodo_50,1,0,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,20,0.015999316716514556,0.019956667469960804,0.0044624465067191095,3.5853240352403937,1
lodo,lodo_60,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016431716567466614,0.020407044663010594,0.0046816971274939055,3.5097777835668,1
lodo,lodo_6332,1,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01645999776414194,0.020393976075630326,0.00467869898792941,3.518071542240084,1
paired,pair_01,2,2,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.01552094947960068,0.020111225632689817,0.004740261340949229,3.274281387298498,1
paired,pair_02,2,2,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.013645964442850928,0.018182380019909784,0.004285628070063001,3.184122424942565,1
paired,pair_03,2,2,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.015235314612742393,0.020943973391827637,0.004936541870117313,3.086232227658658,1
paired,pair_04,2,2,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.0172065543412499,0.02064849618453216,0.004866897224462415,3.5354258673811403,1
paired,pair_05,2,2,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.013579487709707539,0.015605919712911294,0.003678350551884132,3.6917328890123935,1
paired,pair_06,2,0,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,20,0.015999316716514556,0.019956667469960804,0.0044624465067191095,3.5853240352403937,1
paired,pair_07,2,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01648572584289632,0.02038136035027376,0.004675804742038424,3.525751555594116,1
paired,pair_08,2,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016841386017383744,0.02013517139069516,0.00461932512120587,3.64585422664238,1
paired,pair_09,2,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.016821849425346858,0.020152212632760177,0.004623234650260281,3.638545455269032,1
paired,pair_10,2,1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01645999776414194,0.020393976075630326,0.00467869898792941,3.518071542240084,1
paired,pair_11,2,2,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.017296558539916657,0.020669129183107215,0.004871760468865293,3.5503712981080304,1
paired,pair_12,2,2,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.016253355167974215,0.020653290674400103,0.004868027296561732,3.338797048129515,1
paired,pair_13,2,2,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.01649956324415736,0.020996470584558585,0.0049489155771084165,3.333975491616252,1
repeated_split,split_001,8,4,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,16,0.015235701259203581,0.0211562229327885,0.005289055733197125,2.8806089456716526,1
repeated_split,split_002,8,6,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.0145739523285382,0.01687385260511629,0.004509726803090577,3.231670778493826,1
repeated_split,split_003,8,7,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,13,0.010477156152023295,0.011547473296949315,0.0032026928518616893,3.271358396398531,1
repeated_split,split_004,8,7,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.014349783591788779,0.017587401388880118,0.004877867500751834,2.94181496106178,1
repeated_split,split_005,8,4,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,16,0.014868247846915641,0.01605776731308233,0.004014441828270583,3.7036899481791385,1
repeated_split,split_006,8,6,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.013672869729734862,0.020103757846473204,0.005372955289155075,2.544757771822998,1
repeated_split,split_007,8,6,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.015948410113871696,0.020078387705424496,0.005366174833750904,2.972025811302893,1
repeated_split,split_008,8,4,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,16,0.018017103239512056,0.021843795540557025,0.005460948885139256,3.299262384334259,1
repeated_split,split_009,8,6,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.016252598243003444,0.019602022449255182,0.005238860863783163,3.1023153058634354,1
repeated_split,split_010,8,6,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.013173568135457519,0.015459102714369642,0.004131618990294162,3.1884760347951615,1
repeated_split,split_011,8,8,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,12,0.013099404303024946,0.013109384452483505,0.0037843533212758235,3.461464401164511,1
repeated_split,split_012,8,6,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.009336010193211853,0.009484952691812827,0.002534960235894489,3.6829020278172284,1
repeated_split,split_013,8,6,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.02022973641972315,0.022428571820444682,0.005994287959054051,3.3748356031456943,1
repeated_split,split_014,8,6,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.019069207019096136,0.02265657270937824,0.00605522375978757,3.1492159126692822,1
repeated_split,split_015,8,7,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,13,0.013901317722840716,0.014733070873979886,0.004086218652398425,3.4020004569949465,1
repeated_split,split_016,8,7,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.018428972549295788,0.02377977135718737,0.006595321919011459,2.794249132278598,1
repeated_split,split_017,8,5,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30,15,0.02381418169916103,0.030546380173335108,0.00788704144654982,3.019406181715772,1
repeated_split,split_018,8,5,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.010798813855643017,0.015496531375124356,0.004001187195989157,2.698902432375044,1
repeated_split,split_019,8,7,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.019971120971653895,0.023056576002129063,0.006394743616331451,3.12305264602789,1
repeated_split,split_020,8,7,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30,13,0.026549276384031,0.03154837367700111,0.008749944534609685,3.034222248954553,1
repeated_split,split_021,8,6,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.025909245663209145,0.030523936921304857,0.00815786528964444,3.1759835132480343,1
repeated_split,split_022,8,6,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.017644711135439556,0.022075647939690503,0.005899965084383137,2.990646704358315,1
repeated_split,split_023,8,8,extra_trees,missing+label_flip,independent,0.30+0.30,extra_trees | missing+label_flip | independent | 0.30+0.30,18,0.00795624854978249,0.011275036440478024,0.0026575515750624818,2.9938265824983774,1
repeated_split,split_024,8,5,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.015114157000149963,0.019462107209066885,0.00502509447352129,3.0077358902983673,1
repeated_split,split_025,8,7,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.10+0.10,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.10+0.10,13,0.0071879340353088,0.009573211844395045,0.0026551312442958095,2.7071859633120225,1
