fold_id,dataset_id,dataset_name,model,defect_pair,process,severity,candidate_key,training_n,training_mean,training_sd,training_se,selection_score,direction,heldout_interaction,oriented_heldout_interaction,selection_optimism
pair_01,40994,climate-model-simulation-crashes,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.01552094947960068,0.020111225632689817,0.004740261340949229,3.274281387298498,1,0.03833333333333333,0.03833333333333333,-0.022812383853732653
pair_01,46941,maternal_health_risk,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.01552094947960068,0.020111225632689817,0.004740261340949229,3.274281387298498,1,0.002275910364145576,0.002275910364145576,0.013245039115455104
pair_02,1485,madelon,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.013645964442850928,0.018182380019909784,0.004285628070063001,3.184122424942565,1,0.05897435897435902,0.05897435897435902,-0.045328394531508095
pair_02,29,credit-approval,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.013645964442850928,0.018182380019909784,0.004285628070063001,3.184122424942565,1,0.015384615384615441,0.015384615384615441,-0.0017386509417645132
pair_03,1494,qsar-biodeg,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.015235314612742393,0.020943973391827637,0.004936541870117313,3.086232227658658,1,0.02129629629629633,0.02129629629629633,-0.006060981683553937
pair_03,1557,abalone,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.015235314612742393,0.020943973391827637,0.004936541870117313,3.086232227658658,1,0.02445437500463173,0.02445437500463173,-0.009219060391889336
pair_04,46919,credit_card_clients_default,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.0172065543412499,0.02064849618453216,0.004866897224462415,3.5354258673811403,1,0.010455839542945267,0.010455839542945267,0.006750714798304632
pair_04,46922,Diabetes130US,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.0172065543412499,0.02064849618453216,0.004866897224462415,3.5354258673811403,1,-0.00018748335515232176,-0.00018748335515232176,0.01739403769640222
pair_05,37,diabetes,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.013579487709707539,0.015605919712911294,0.003678350551884132,3.6917328890123935,1,0.07222222222222219,0.07222222222222219,-0.05864273451251465
pair_05,46930,hazelnut-spread-contaminant-detection,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,18,0.013579487709707539,0.015605919712911294,0.003678350551884132,3.6917328890123935,1,0.0033333333333332624,0.0033333333333332624,0.010246154376374276
pair_07,46960,students_dropout_and_academic_success,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,19,0.01648572584289632,0.02038136035027376,0.004675804742038424,3.525751555594116,1,0.00675754331526109,0.00675754331526109,0.009728182527635229
