repetition,model,defect_pair,process,severity,candidate_key,training_n,training_mean,training_sd,training_se,selection_score,direction,holdout_n,holdout_mean,holdout_positive_proportion,selection_optimism
1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,16,0.015235701259203581,0.0211562229327885,0.005289055733197125,2.8806089456716526,1,4,0.019053778545758467,1.0,-0.0038180772865548853
2,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.0145739523285382,0.01687385260511629,0.004509726803090577,3.231670778493826,1,6,0.019325166955126056,0.8333333333333334,-0.004751214626587856
3,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,13,0.010477156152023295,0.011547473296949315,0.0032026928518616893,3.271358396398531,1,7,-0.0023893532727503023,0.42857142857142855,0.012866509424773596
4,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.014349783591788779,0.017587401388880118,0.004877867500751834,2.94181496106178,1,7,0.019062735376719576,0.8571428571428571,-0.004712951784930797
5,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,16,0.014868247846915641,0.01605776731308233,0.004014441828270583,3.7036899481791385,1,4,0.020523592194910224,0.75,-0.0056553443479945825
6,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.013672869729734862,0.020103757846473204,0.005372955289155075,2.544757771822998,1,6,0.02142769301900052,1.0,-0.007754823289265659
7,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.015948410113871696,0.020078387705424496,0.005366174833750904,2.972025811302893,1,6,0.01611809878934791,1.0,-0.00016968867547621433
8,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,16,0.018017103239512056,0.021843795540557025,0.005460948885139256,3.299262384334259,1,4,0.007928170624524574,1.0,0.010088932614987481
9,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.016252598243003444,0.019602022449255182,0.005238860863783163,3.1023153058634354,1,6,0.015408326488040492,0.8333333333333334,0.0008442717549629521
10,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.013173568135457519,0.015459102714369642,0.004131618990294162,3.1884760347951615,1,6,0.022592730072314316,0.8333333333333334,-0.009419161936856798
11,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,12,0.013099404303024946,0.013109384452483505,0.0037843533212758235,3.461464401164511,1,8,-0.004714411821156079,0.5,0.017813816124181023
12,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.009336010193211853,0.009484952691812827,0.002534960235894489,3.6829020278172284,1,6,0.031547031937554204,1.0,-0.02221102174434235
13,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.02022973641972315,0.022428571820444682,0.005994287959054051,3.3748356031456943,1,6,0.006128337409027851,0.6666666666666666,0.0141013990106953
14,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.019069207019096136,0.02265657270937824,0.00605522375978757,3.1492159126692822,1,6,0.00883623934382421,0.8333333333333334,0.010232967675271926
15,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,13,0.013901317722840716,0.014733070873979886,0.004086218652398425,3.4020004569949465,1,7,-0.008748510475696938,0.5714285714285714,0.022649828198537655
16,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.018428972549295788,0.02377977135718737,0.006595321919011459,2.794249132278598,1,7,0.011487098741349415,0.8571428571428571,0.0069418738079463724
17,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30,15,0.02381418169916103,0.030546380173335108,0.00788704144654982,3.019406181715772,1,5,0.0012850575999648745,0.4,0.022529124099196156
18,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.010798813855643017,0.015496531375124356,0.004001187195989157,2.698902432375044,1,5,0.03160082529912918,1.0,-0.02080201144348616
19,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.019971120971653895,0.023056576002129063,0.006394743616331451,3.12305264602789,1,7,0.008623108814112932,1.0,0.011348012157540962
20,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30,13,0.026549276384031,0.03154837367700111,0.008749944534609685,3.034222248954553,1,7,0.002642488642119547,0.42857142857142855,0.023906787741911455
21,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.025909245663209145,0.030523936921304857,0.00815786528964444,3.1759835132480343,1,6,0.0001514290337186385,0.5,0.025757816629490508
22,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.017644711135439556,0.022075647939690503,0.005899965084383137,2.990646704358315,1,6,0.012160063072356238,1.0,0.005484648063083318
23,extra_trees,missing+label_flip,independent,0.30+0.30,extra_trees | missing+label_flip | independent | 0.30+0.30,18,0.00795624854978249,0.011275036440478024,0.0026575515750624818,2.9938265824983774,1,8,0.004340499275167231,0.625,0.003615749274615258
24,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.015114157000149963,0.019462107209066885,0.00502509447352129,3.0077358902983673,1,5,0.018654795865608347,1.0,-0.0035406388654583842
25,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.10+0.10,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.10+0.10,13,0.0071879340353088,0.009573211844395045,0.0026551312442958095,2.7071859633120225,1,7,0.012462590423031803,0.42857142857142855,-0.005274656387723003
26,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.01297151547586437,0.016875811494862683,0.004510250338396968,2.8760078715441555,1,6,0.023064186278031664,0.8333333333333334,-0.010092670802167294
27,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,12,0.009780001263771284,0.009448663378381192,0.00272759417249527,3.585577855529842,1,8,0.025328289895629467,0.875,-0.015548288631858182
28,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.018918173550796356,0.02260033061454094,0.006040192427673598,3.1320481553073236,1,6,0.009188650769857034,0.6666666666666666,0.009729522780939323
29,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.013502590190806655,0.016918571250037817,0.004368356312868004,3.091000189483548,1,5,0.023489496293638272,1.0,-0.009986906102831617
30,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.012901329490469729,0.015978644796873345,0.0042704724524898685,3.0210543760673834,1,6,0.023227953577285822,0.8333333333333334,-0.010326624086816094
31,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.01913579434042671,0.0228037309699708,0.0060945534592712096,3.1398189331355835,1,6,0.008680868927386206,1.0,0.010454925413040503
32,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.009341064461704063,0.012866336655045258,0.003438673113290744,2.7164735216034663,1,6,-0.001882890899467693,0.6666666666666666,0.011223955361171756
33,extra_trees,missing+label_flip,independent,0.30+0.30,extra_trees | missing+label_flip | independent | 0.30+0.30,18,0.008094492873100417,0.010999547521820743,0.0025926182142210438,3.122130681910842,1,8,0.004029449547701899,0.5,0.004065043325398518
34,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.017932658765962096,0.024179264558215025,0.006706121397511802,2.6740730897916225,1,7,0.012408824338969133,1.0,0.005523834426992964
35,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.02214831103584115,0.029580110185412643,0.007905616984059737,2.8015917139040836,1,6,0.008926943164243964,0.5,0.013221367871597186
36,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.02130888318597856,0.02272949836220799,0.006304028600808898,3.3802009056945463,1,7,0.006138693273224265,0.8571428571428571,0.015170189912754295
37,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.01890513869753147,0.02324712942291559,0.006447593626282288,2.93212317545395,1,7,0.0106027901803403,0.8571428571428571,0.008302348517191168
38,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,15,0.01145405107263697,0.014462895921566049,0.0037343036694770983,3.067252180442208,1,5,-0.010466641804500758,0.6,0.02192069287713773
39,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.0175092073484097,0.0223862469479154,0.00598297616105809,2.926504615273813,1,6,0.012476238575425902,0.8333333333333334,0.005032968772983797
40,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.01783568923539,0.022853826441825285,0.006107942037293228,2.9200816128395997,1,6,0.011714447505805192,0.8333333333333334,0.006121241729584809
41,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.015621735363392522,0.01718836645736689,0.004593784165841734,3.4006245830076134,1,6,0.016880339873799315,1.0,-0.0012586045104067932
42,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,12,0.01177039578992102,0.016607730326224292,0.004794238787237153,2.4551125449268913,1,8,0.02234269810640487,0.875,-0.010572302316483848
43,regularized_logistic,missing+label_flip,shared_latent,0.10+0.10,regularized_logistic | missing+label_flip | shared_latent | 0.10+0.10,18,-0.005495236230085566,0.008018024865812993,0.0018898665847795753,2.9077376542569553,-1,8,-0.00324145281463926,0.5,0.008736689044724825
44,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.01615695894490295,0.022604301663635286,0.006041253735186247,2.6744380642050363,1,6,0.015631484850274983,1.0,0.0005254740946279667
45,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.01328195719067798,0.016236661496189794,0.004192287971516684,3.1681881781305306,1,5,0.02415139529402429,0.8,-0.01086943810334631
46,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.009903427992781632,0.013161925312661074,0.003517672505020373,2.815335418134462,1,6,-0.003195072471982023,0.5,0.013098500464763655
