file,task_id,dataset_id,name,decision,primary_reason,evidence_url,review_note,summary_category
openml_active_classification_pool__followup_source_review__followup_candidate_review.csv,363445,46737,agriculture_dataset_karnataka,blocked,original_collection_and_row_grain_unverified,https://www.openml.org/d/46737,Kaggle derivative metadata does not establish the original Karnataka collection or independent row unit.,Non-IID/grouped units
openml_active_classification_pool__followup_source_review__followup_candidate_review.csv,363456,46758,PostPartum_Depression,blocked,hospital_identity_ethics_and_independence_unverified,https://www.openml.org/d/46758,Uploader claims an unpublished hospital Google-form survey but names no hospital or auditable study.,Non-IID/grouped units
openml_active_classification_pool__followup_source_review__followup_candidate_review.csv,363712,46979,jm1,blocked,jm1_version_identity_and_label_quality_unresolved,https://www.openml.org/d/1053,The exact lineage remains unresolved across conflicting NASA/PROMISE JM1 variants.,Non-IID/grouped units
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,9898,1560,cardiotocography,blocked,independent_subject_unit_not_established,https://archive.ics.uci.edu/dataset/193/cardiotocography,"The source establishes 2,126 fetal cardiotocograms but does not establish 2,126 distinct fetuses or pregnancies.",Non-IID/grouped units
expanded_candidate_source_review__candidate_source_license_independence_review.csv,9979,1466,cardiotocography,blocked,independence_unverified,https://archive.ics.uci.edu/dataset/193/cardiotocography,"The source does not establish that 2,126 cardiotocograms correspond to 2,126 independent pregnancies/fetuses.",Non-IID/grouped units
expanded_candidate_source_review__candidate_source_license_independence_review.csv,146606,23512,higgs,blocked,subset_provenance_unverified,https://archive.ics.uci.edu/dataset/280/higgs,"UCI documents 11M events; the exact rule producing OpenML's 98,050-row derivative is not documented.",Other unresolved
openml_active_classification_pool__followup_source_review__followup_candidate_review.csv,363632,46924,E-CommereShippingData,blocked,original_collection_unverified,https://www.openml.org/d/46924,TabArena itself records missing source information and translation/data concerns.,Other unresolved
openml_active_classification_pool__followup_source_review__followup_candidate_review.csv,363634,46927,Fitness_Club,blocked,original_collection_and_member_grain_unverified,https://www.openml.org/d/46927,A training-course/Kaggle derivative with no auditable collection owner or member identifier.,Other unresolved
expanded_candidate_source_review__candidate_source_license_independence_review.csv,14967,23380,cjs,blocked,source_and_license_unverified,https://www.openml.org/d/23380,"No canonical primary source, explicit licence, or defensible sample unit was found in the frozen official metadata.",Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,167119,41027,jungle_chess_2pcs_raw_endgame_complete,blocked,license_and_generated_position_independence_unverified,https://www.openml.org/d/41027,OpenML only states Public and generated board positions are structurally related.,Provenance/license
