scenario_key,block,search_width,n_cal,n_final,tau,rho,regime,signal,transfer,replications,selected_signal_candidate_mean,absolute_selection_optimism_mean,calibration_to_confirmation_gap_mean,sign_reversal_mean,naive_reject_mean,holm_reject_mean,external_reject_mean,cal_ci_cover_mean,final_ci_cover_mean,selected_signal_candidate_mcse,absolute_selection_optimism_mcse,calibration_to_confirmation_gap_mcse,sign_reversal_mcse,naive_reject_mcse,holm_reject_mcse,external_reject_mcse,cal_ci_cover_mcse,final_ci_cover_mcse
main_factorial__m12__c26__f16__tau0.005__rho0.5__attenuated_sparse_signal,main_factorial,12,26,16,0.005,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.9905,7.209640264373306e-05,0.002523741726731027,0.0235,0.9995,0.97,0.604,0.9445,0.951,0.0021696148539100545,2.2311080077670982e-05,3.5070957836434084e-05,0.0033881580257425544,0.0004999999999999999,0.0038154001938616715,0.01093854770584087,0.005120838456077932,0.0048281627538628875
main_factorial__m12__c26__f16__tau0.005__rho0.5__global_null,main_factorial,12,26,16,0.005,0.5,global_null,0.0,1.0,2000,0.0795,0.0016944281332180564,0.0017043441042215932,0.4945,0.3265,0.0375,0.0375,0.6735,0.9595,0.006050469328039334,1.194277449291713e-05,3.039076183588266e-05,0.011182459420867562,0.010488273305862562,0.004249223805764504,0.0042492238057645,0.010488273305862559,0.00440903558586214
main_factorial__m12__c26__f16__tau0.005__rho0.5__stable_sparse_signal,main_factorial,12,26,16,0.005,0.5,stable_sparse_signal,0.005,1.0,2000,0.989,6.8463828495276e-05,5.9740168821820415e-05,0.006,0.9995,0.9635,0.9725,0.9525,0.949,0.0023328568559933703,2.2229873880424133e-05,3.593772868160349e-05,0.0017272787111155333,0.0005000000000000001,0.0041943618508263935,0.0036576719757437353,0.004757435401116643,0.004920529016569403
main_factorial__m12__c26__f16__tau0.005__rho0__attenuated_sparse_signal,main_factorial,12,26,16,0.005,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.99,6.188466182741879e-05,0.0025556981341079556,0.0265,0.998,0.968,0.5915,0.939,0.949,0.0022254159696827596,2.280974894422932e-05,3.5794217024422166e-05,0.0035923985947875978,0.0009992493430694932,0.0039364638794147444,0.010994285431808573,0.005352926948264542,0.004920529016569398
main_factorial__m12__c26__f16__tau0.005__rho0__global_null,main_factorial,12,26,16,0.005,0.0,global_null,0.0,1.0,2000,0.081,0.0018755849887250224,0.0019119661469644044,0.5015,0.464,0.049,0.045,0.536,0.9505,0.006102304405675748,1.1545450165479756e-05,3.00360703996525e-05,0.011183085696839292,0.011154111668059975,0.00482816275386289,0.004636620442149892,0.01115411166805998,0.004851457855290594
main_factorial__m12__c26__f16__tau0.005__rho0__stable_sparse_signal,main_factorial,12,26,16,0.005,0.0,stable_sparse_signal,0.005,1.0,2000,0.991,6.032389555791831e-05,3.857578136468991e-05,0.003,0.9985,0.9695,0.9755,0.95,0.9435,0.0021122809627113336,2.191365733609622e-05,3.518785414129402e-05,0.001223212215464689,0.0008655920660521372,0.003846072169833502,0.0034577236625362713,0.004874615978769016,0.005164030267562555
main_factorial__m12__c26__f16__tau0.015__rho0.5__attenuated_sparse_signal,main_factorial,12,26,16,0.015,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.495,0.0036867398288661967,0.004926910137517827,0.38,0.519,0.119,0.1005,0.7625,0.9465,0.011182576850283937,5.686923029301814e-05,9.479586340589241e-05,0.010856285251628768,0.011175058879956089,0.007241941926129387,0.006724766631127176,0.00951799196708753,0.005033044880624973
main_factorial__m12__c26__f16__tau0.015__rho0.5__global_null,main_factorial,12,26,16,0.015,0.5,global_null,0.0,1.0,2000,0.084,0.005096454400649787,0.005104908721562019,0.5025,0.3255,0.0385,0.05,0.6745,0.9415,0.006204131335071126,3.582785979142613e-05,9.189968995442285e-05,0.01118299623099065,0.010479970891894093,0.004303270159661544,0.004874615978769014,0.01047997089189409,0.005249061947211406
main_factorial__m12__c26__f16__tau0.015__rho0.5__stable_sparse_signal,main_factorial,12,26,16,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.5195,0.003678089113005712,0.003548235942519123,0.283,0.533,0.1335,0.222,0.769,0.951,0.011174628009718166,5.816138047326754e-05,0.00010289498731546972,0.010075031172485923,0.01115875256825062,0.0076070893845446705,0.009295224612686892,0.009426766782199664,0.0048281627538628875
main_factorial__m12__c26__f16__tau0.015__rho0__attenuated_sparse_signal,main_factorial,12,26,16,0.015,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.415,0.004441603182116366,0.00544285210435365,0.397,0.64,0.138,0.099,0.6575,0.9515,0.011020354990292108,5.4887301626255085e-05,9.358813935530959e-05,0.010943280024236075,0.01073581058022203,0.007714126903087504,0.006679955905951231,0.010613821253478897,0.004804728682127063
