freeze_index,task_id,dataset_id,dataset_name,source_domain_key,evidence_url,approval_stage,approval_basis,required_drop_columns,selection_hash,partition
1,363462,46764,football-player-position,reviewed-task-363462,https://github.com/TRR318/pub-msl,followup,passed_all_gates,,07c10b66651fe6949ff43a95cafb98fc72d225b3c3ebd567ed3cb8121a3df542,development
2,363706,46962,taiwanese_bankruptcy_prediction,https://doi.org/10.24432/C5004D,https://doi.org/10.24432/C5004D,base,permissive_cc_by_4_0,,0df95cb05043b9ca6fded5f3645a51340768391d1fb995be673a9ec3d2feef2b,development
3,9971,1480,ilpd,https://archive.ics.uci.edu/dataset/225/ilpd+indian+liver+patient+dataset,https://archive.ics.uci.edu/dataset/225/ilpd+indian+liver+patient+dataset,base,permissive_cc_by_4_0,,1029520928377ca68f13ff19c161dc32cd97104fec4a5316827777ab73fc7184,development
4,23,23,cmc,https://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice,https://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice,base,permissive_cc_by_4_0,,111820f0e8ed9e0631dc07c77bb8b19ecaaacd59caef6e6b43109fec4eeab8b7,development
5,146195,40668,connect-4,https://archive.ics.uci.edu/ml/datasets/Connect-4,https://archive.ics.uci.edu/ml/datasets/Connect-4,base,permissive_cc_by_4_0,,13daf9ae9d0a68568c9f34f8ff5bbd8383876db6a1c42cc98229afef8bb6e301,development
6,3886,1023,soybean,reviewed-task-3886,https://archive.ics.uci.edu/dataset/90/soybean+large,round3,passed_all_gates,,174d1fcb3142d1f2bfce769e8d11737c61bcf09b33a7ea67a9ddd188f44bb1d5,development
7,45,46,splice,https://archive.ics.uci.edu/dataset/69/molecular+biology+splice+junction+gene+sequences,https://archive.ics.uci.edu/dataset/69/molecular+biology+splice+junction+gene+sequences,base,permissive_cc_by_4_0,,1d1a5b198341f8a1ceed75ffe2ace07d2e9a402adfef25c55388c099d1bd9496,development
8,363623,46915,churn,https://www.openml.org/d/40701,https://www.openml.org/d/40701,base,permissive_mit,,2487e2eb9f7e09a3545835233e40c0b5a3027c0c1d529e2d0af51911c515121a,development
9,3,3,kr-vs-kp,https://archive.ics.uci.edu/ml/datasets/Chess+(King-Rook+vs.+King-Pawn),https://archive.ics.uci.edu/ml/datasets/Chess+(King-Rook+vs.+King-Pawn),base,permissive_cc_by_4_0,,377e72cb2cfbf1c136ab938a2b21a6d8ed6b188408f65c4ed1c3bbbf4c6f8871,development
10,363624,46916,coil2000_insurance_policies,https://doi.org/10.24432/C5630S,https://doi.org/10.24432/C5630S,base,permissive_cc_by_4_0,,390374b6ca2d41ac640c2d5e485c974bc45b6686a50157e24a74e03aa32290f8,development
11,361677,45558,Pulsar-Dataset-HTRU2,uci-htru2,https://archive.ics.uci.edu/dataset/372/htru2,active_pool,passed_all_gates,,51b6fce145adf9ee168768a228ab4953c623798e3dbd142f6b858e2c326ca2a5,development
12,363627,46919,credit_card_clients_default,https://doi.org/10.24432/C55S3H,https://doi.org/10.24432/C55S3H,base,permissive_cc_by_4_0,,5284f9e08d6f44cbe8dca2592ab40663e52d7a6c26af992f498665d08b888b27,calibration
13,58,60,waveform-5000,uci-waveform-generator-v2,https://archive.ics.uci.edu/dataset/108/waveform+database+generator+version+2,expanded,passed_all_gates,,57165e83e1d25ae88663849a6df30698ecc1ec6e4619b1b6d4e1741359cc55ac,calibration
14,37,37,diabetes,https://archive.ics.uci.edu/ml/datasets/pima+indians+diabetes,https://archive.ics.uci.edu/ml/datasets/pima+indians+diabetes,base,permissive_cc_by_4_0,,57fc48f46d281ec15b19d148bb59874243a341d19a04b8aff6eb7690f164fa3f,calibration
15,9976,1485,madelon,https://archive.ics.uci.edu/dataset/171/madelon,https://archive.ics.uci.edu/dataset/171/madelon,base,permissive_cc_by_4_0,,58122fe027973eb83fc55fe1d45de7245e7b7d67f3eeaacff009682aba1b4d53,calibration
16,361642,42178,telco-customer-churn,reviewed-task-361642,https://github.com/IBM/telco-customer-churn-on-icp4d,round2,passed_with_identifier_sanitation,customerID,5a3c387a90c372e016014aaa4d1721ccbbd66d4a526d56bbb3636cad592aa4a2,calibration
17,146821,40975,car,https://archive.ics.uci.edu/ml/datasets/car+evaluation,https://archive.ics.uci.edu/ml/datasets/car+evaluation,base,permissive_cc_by_4_0,,5c283243cd48fa52173c6f723898772d98473be5673bec49af1286194208687d,calibration
18,9957,1494,qsar-biodeg,https://archive.ics.uci.edu/dataset/254/qsar+biodegradation,https://archive.ics.uci.edu/dataset/254/qsar+biodegradation,base,permissive_cc_by_4_0,,5c5bfe3acedb21df4429ac5238e7f6ce3fc37f588d3862bef98a7c572f81fbea,calibration
19,14954,6332,cylinder-bands,https://archive.ics.uci.edu/dataset/32/cylinder+bands,https://archive.ics.uci.edu/dataset/32/cylinder+bands,base,permissive_cc_by_4_0,,5ef18b0b573a24837757ba5451505170da8a3dd460fb9acd043b7fd92ecb252a,calibration
20,363428,46720,OSMI_Mental_Health_in_Tech_Survey,osmi_mental_health_tech_2016,https://osmhhelp.org/research.html,deep_review,passed_all_gates,,638c881d3d5b2733b5b26e83cc028e9f39d164b243db1920ca3894f89ce06ed2,calibration
21,363402,46584,Student_Performance_on_an_Entrance_Examination,uci-entrance-examination-performance,https://archive.ics.uci.edu/dataset/582/student+performance+on+an+entrance+examination,active_pool,passed_all_gates,,69136de7989eed316d2cf2eb4f2220f76a2645805a066bbcb94088cf2df2945d,calibration
22,24,24,mushroom,uci-mushroom,https://archive.ics.uci.edu/dataset/73/mushroom,expanded,passed_all_gates,,691ddf788e57b8cdfb5f66daf3561dbb93ed2347eb0efe9d3e65978b84f8bd01,calibration
23,363229,46173,King-rook-vs-King,uci_chess_king_rook_vs_king,https://archive.ics.uci.edu/dataset/23/chess+king+rook+vs+king,deep_review,passed_all_gates,,696fac7d6480c3c366daf9f43c97167dce769e0da13ea8828e06dd870089b1a7,calibration
